From;To;Distance;Time;Co2
NykoebingF;Eskilstrup;10;8;380
Eskilstrup;NoerreAlslev;12;9;456
NoerreAlslev;Vordingborg;14;10;532
Vordingborg;Lundby;10;8;380
Lundby;Naestved;15;11;570
Naestved;Glumsoe;16;12;608
Glumsoe;Ringsted;20;14;760
Naestved;NaestvedNord;5;4;190
NaestvedNord;HolmeUlstrup;8;6;304
HolmeUlstrup;Haslev;12;9;456
Haslev;Tureby;9;7;342
Tureby;Herfoelge;10;8;380
Herfoelge;Koege;8;6;304
Korsoer;Slagelse;15;11;570
Slagelse;Soroe;10;8;380
Soroe;Ringsted;15;11;570
Ringsted;Borup;12;9;456
Borup;VibySjaelland;10;8;380
VibySjaelland;Roskilde;14;10;532
Kalundborg;Kalundborgoest;5;4;190
Kalundborgoest;Sveboelle;12;9;456
Sveboelle;Jyderup;9;7;342
Jyderup;Moerkoev;7;6;266
Moerkoev;Knabstrup;5;4;190
Knabstrup;Regstrup;6;5;228
Regstrup;Holbaek;10;8;380
Holbaek;Vipperoed;6;5;228
Vipperoed;Toelloese;8;6;304
Toelloese;Hvalsoe;10;8;380
Hvalsoe;Lejre;7;6;266
Lejre;Roskilde;12;9;456
Roskilde;Trekroner;6;5;228
Trekroner;Hedehusene;5;4;190
Hedehusene;HoejeTaastrup;6;5;228
HoejeTaastrup;Valby;18;13;684
Frederikssund;Valby;40;27;1520
Farum;Valby;30;21;1140
Ringsted;KoegeNord;25;18;950
Koege;oelby;3;3;114
oelby;KoegeNord;5;4;190
KoegeNord;NyEllebjerg;30;21;1140
Hilleroed;NyEllebjerg;40;27;1520
Valby;KoebenhavnH;4;4;152
NyEllebjerg;KoebenhavnH;6;5;228
Malmoe;Triangeln;2;2;76
Triangeln;Hyllie;3;3;114
Hyllie;KoebenhavnsLufthavn;20;14;760
KoebenhavnsLufthavn;Taarnby;5;4;190
Taarnby;oerestad;4;4;152
oerestad;KoebenhavnH;8;6;304
Helsingoer;Snekkersten;4;4;152
Snekkersten;Espergaerde;3;3;114
Espergaerde;Humlebaek;5;4;190
Humlebaek;Nivaa;4;4;152
Nivaa;Kokkedal;4;4;152
Kokkedal;RungstedKyst;3;3;114
RungstedKyst;Vedbaek;4;4;152
Vedbaek;Skodsborg;4;4;152
Skodsborg;Klampenborg;5;4;190
Klampenborg;Hellerup;6;5;228
Hellerup;oesterport;6;5;228
oesterport;Noerreport;3;3;114
Noerreport;KoebenhavnH;3;3;114
Nyborg;Korsoer;19;14;722
Langeskov;Nyborg;13;10;494
Odense;Langeskov;16;12;608
Holmstrup;Odense;9;7;342
Tommerup;Holmstrup;6;5;228
Skalbjerg;Tommerup;5;4;190
Bred;Skalbjerg;7;6;266
Aarup;Bred;5;4;190
Gelsted;Aarup;9;7;342
Ejby;Gelsted;11;8;418
NoerreAaby;Ejby;8;6;304
Kauslunde;NoerreAaby;5;4;190
Middelfart;Kauslunde;6;5;228
Flensburg;Padborg;36;25;1368
Padborg;Tinglev;10;8;380
Tinglev;Roedekro;13;10;494
Soenderborg;Graasten;20;14;760
Graasten;Kliplev;12;9;456
Kliplev;Tinglev;8;6;304
Roedekro;Vojens;17;12;646
Vojens;Vamdrup;12;9;456
Vamdrup;Lunderskov;9;7;342
Esbjerg;Jerne;4;4;152
Jerne;Tjaereborg;8;6;304
Tjaereborg;Bramming;9;7;342
Bramming;Goerding;6;5;228
Goerding;Holsted;7;6;266
Holsted;Broerup;6;5;228
Broerup;Vejen;5;4;190
Vejen;Lunderskov;9;7;342
Lunderskov;Kolding;10;8;380
Kolding;Taulov;12;9;456
Taulov;Middelfart;14;10;532
Taulov;Fredericia;9;7;342
Struer;Hjerm;12;9;456
Hjerm;Holstebro;13;10;494
Holstebro;Aulum;15;11;570
Aulum;Vildbjerg;13;10;494
Vildbjerg;Goedstrup;8;6;304
Goedstrup;Herning;7;6;266
Herning;Brande;16;12;608
Brande;Thyregod;12;9;456
Thyregod;Give;10;8;380
Give;Jelling;11;8;418
Jelling;VejleSygehus;14;10;532
VejleSygehus;Vejle;3;3;114
Vejle;Brejning;11;8;418
Brejning;Boerkop;5;4;190
Boerkop;Fredericia;11;8;418
Fredericia;Middelfart;11;8;418
AalborgLufthavn;Lindholm;7;6;266
